Groningen,234,47
Friesland,254,57
Drenthe,190,40
Overijssel,476,85
Flevoland,171,31
Gelderland,838,167
Utrecht,541,113
Noord-Holland,1146,279
Zuid-Holland,1471,272
Zeeland,155,31
Noord-Brabant,1063,202
Limburg,459,79
